Folder,Camera_Id,Direction,Density,Average_Speed,Date,Time,Vehicle_Count,Latitude,Longitude,Is_Weekday,Is_Peak,Incident,Jam,True_Vehicle_Count,True_Traffic_Condition,Remarks
1,1001,KPE (TPE),0,24.5,21/10/2022,13:50:07,0,1.29531332,103.871146,1,0,0,0,0,0,
1,1001,ECP (CHANGI),0,24.5,21/10/2022,13:50:07,0,1.29531332,103.871146,1,0,0,0,0,0,
1,1001,ECP (CITY),0,24.5,21/10/2022,13:50:07,0,1.29531332,103.871146,1,0,0,0,0,0,
1,1002,KPE (ECP),0.01,100,21/10/2022,13:50:03,1,1.31954107,103.878563,1,0,0,0,3,0,
1,1002,PIE (TUAS),0,100,21/10/2022,13:50:03,0,1.31954107,103.878563,1,0,0,0,0,0,
1,1002,PIE (CHANGI),0,100,21/10/2022,13:50:03,0,1.31954107,103.878563,1,0,0,0,1,0,
1,1003,PIE (CHANGI),0,100,21/10/2022,13:50:01,0,1.32395744,103.872858,1,0,1,0,0,0,
1,1003,KPE (TPE),0,100,21/10/2022,13:50:01,0,1.32395744,103.872858,1,0,1,0,0,0,
1,1003,KPE (ECP),0.03,100,21/10/2022,13:50:01,3,1.32395744,103.872858,1,0,1,0,3,0,
1,1003,PIE (CHANGI),0.04,100,21/10/2022,13:50:01,4,1.32395744,103.872858,1,0,1,0,9,0,
1,1004,PIE (TUAS),0.01,100,21/10/2022,13:50:01,1,1.31953571,103.875067,1,0,0,0,4,0,
1,1004,KPE (ECP),0.01,100,21/10/2022,13:50:01,1,1.31953571,103.875067,1,0,0,0,1,0,
1,1005,KPE (ECP),0,14.5,21/10/2022,13:50:01,0,1.36351989,103.905394,1,0,0,0,6,0,
1,1005,KPE (TPE),0.06,14.5,21/10/2022,13:50:01,6,1.36351989,103.905394,1,0,0,0,6,0,
1,1006,KPE (ECP),0.01,14.5,21/10/2022,13:50:00,1,1.35709869,103.902042,1,0,0,0,5,0,
1,1006,KPE (TPE),0,14.5,21/10/2022,13:50:00,0,1.35709869,103.902042,1,0,0,0,1,0,
1,1501,MCE (ECP),0,34.5,21/10/2022,13:50:10,0,1.27414394,103.851317,1,0,0,0,1,0,
1,1502,MCE (AYE),0,24.5,21/10/2022,13:50:10,0,1.27135091,103.861828,1,0,0,0,0,0,
1,1503,MCE (AYE),0,34.5,21/10/2022,13:50:06,0,1.27066409,103.856978,1,0,0,0,4,0,
1,1503,MCE (ECP),0.04,34.5,21/10/2022,13:50:06,4,1.27066409,103.856978,1,0,0,0,5,0,
1,1504,MCE (AYE),0.01,34.5,21/10/2022,13:50:03,1,1.29409891,103.876056,1,0,1,0,7,0,
1,1505,MCE (ECP),0,24.5,21/10/2022,13:50:01,0,1.27529772,103.86639,1,0,0,0,0,0,
1,1701,MOULMEIN,0.04,34.5,21/10/2022,13:51:07,4,1.32360482,103.85878,1,0,0,0,3,0,
1,1701,CITY,0.12,34.5,21/10/2022,13:51:07,12,1.32360482,103.85878,1,0,0,0,23,0,
1,1701,SLE,0.17,34.5,21/10/2022,13:51:07,17,1.32360482,103.85878,1,0,0,0,33,1,
1,1702,SLE,0.14,34.5,21/10/2022,13:51:31,14,1.34355015,103.860198,1,0,0,0,25,0,
1,1702,CITY,0.15,34.5,21/10/2022,13:51:31,15,1.34355015,103.860198,1,0,0,0,34,0,
1,1703,PIE (CHANGI),0.09,34.5,21/10/2022,13:51:34,9,1.32814722,103.862203,1,0,0,0,11,0,
1,1703,SLE,0.13,34.5,21/10/2022,13:51:34,13,1.32814722,103.862203,1,0,0,0,13,0,
1,1703,AYE,0.12,34.5,21/10/2022,13:51:34,12,1.32814722,103.862203,1,0,0,0,19,0,
1,1703,PIE (TUAS),0.04,34.5,21/10/2022,13:51:34,4,1.32814722,103.862203,1,0,0,0,5,0,
1,1704,SLE,0.09,34.5,21/10/2022,13:51:37,9,1.28569399,103.837525,1,0,0,0,11,0,
1,1704,AYE,0.08,34.5,21/10/2022,13:51:37,8,1.28569399,103.837525,1,0,0,0,14,0,
1,1705,SLE,0.11,24.5,21/10/2022,13:51:37,11,1.37592502,103.858799,1,0,0,1,11,0,
1,1705,CTE,0.06,24.5,21/10/2022,13:51:37,6,1.37592502,103.858799,1,0,0,0,8,0,
