Camera_Id,ROI,Direction
4709,"[(125, 1077), (659, 763), (871, 617), (1008, 535), (1105, 481), (1222, 399), (1306, 336), (1362, 283), (1394, 256), (1476, 248), (1548, 256), (1561, 336), (1559, 410), (1565, 582), (1595, 774), (1680, 1075)]",CITY
4709,"[(0, 635), (178, 580), (410, 511), (589, 454), (712, 411), (845, 373), (934, 327), (1045, 291), (1105, 252), (1178, 223), (1265, 229), (1308, 247), (1318, 287), (1236, 365), (1016, 500), (818, 620), (669, 704), (451, 823), (314, 914), (151, 1011), (0, 1073)]",JURONG
4710,"[(191, 1077), (232, 967), (288, 840), (418, 575), (585, 334), (675, 227), (729, 191), (750, 123), (732, 82), (835, 71), (976, 76), (1028, 136), (1118, 229), (1205, 300), (1302, 384), (1462, 518), (1598, 661), (1710, 761), (1812, 874), (1905, 974), (1916, 1077)]",JURONG
4710,"[(1912, 921), (1739, 729), (1555, 550), (1374, 392), (1179, 245), (1069, 176), (956, 121), (916, 101), (1094, 94), (1200, 135), (1318, 165), (1424, 195), (1515, 230), (1682, 287), (1919, 323), (1918, 523), (1916, 652), (1919, 880)]",CITY
4712,"[(331, 1079), (306, 876), (295, 643), (290, 436), (315, 283), (321, 178), (306, 105), (299, 69), (429, 50), (469, 104), (586, 166), (750, 251), (1010, 369), (1176, 445), (1376, 547), (1540, 616), (1781, 745), (1919, 825), (1918, 1077), (950, 1079), (326, 1079)]",JOHOR
4712,"[(1335, 524), (822, 270), (610, 180), (490, 116), (415, 87), (554, 79), (702, 112), (809, 133), (994, 176), (1172, 214), (1365, 271), (1520, 309), (1690, 373), (1872, 445), (1919, 471), (1919, 539), (1918, 692), (1919, 813)]",CITY
4713,"[(0, 518), (275, 404), (509, 296), (641, 241), (830, 158), (971, 99), (1134, 42), (1255, 5), (1379, 80), (1352, 123), (1182, 207), (1024, 294), (912, 353), (746, 470), (605, 553), (475, 655), (356, 753), (146, 782), (0, 794), (1, 516)]",AYE
4713,"[(1638, 3), (1478, 56), (1312, 104), (1170, 185), (1066, 268), (998, 376), (1046, 501), (1155, 565), (1251, 641), (1344, 696), (1478, 782), (1688, 873), (1910, 929), (1910, 567), (1788, 519), (1668, 460), (1571, 388), (1580, 283), (1645, 200), (1726, 138), (1782, 72), (1795, 3), (1642, 3)]",JOHOR
4714,"[(2, 1077), (4, 993), (254, 780), (459, 609), (582, 515), (744, 379), (804, 282), (846, 215), (920, 163), (964, 114), (1108, 99), (1136, 184), (1208, 287), (1280, 379), (1352, 479), (1455, 640), (1522, 734), (1590, 847), (1644, 936), (1728, 1079), (818, 1077)]",JURONG
4716,"[(2, 1075), (1, 549), (175, 429), (294, 347), (381, 301), (491, 234), (624, 146), (765, 146), (836, 215), (969, 347), (1128, 477), (1282, 632), (1394, 729), (1491, 831), (1672, 978), (1794, 1079), (552, 1079)]",JURONG
