Camera_Id,ROI,Direction
1001,"[(22, 239), (54, 25), (140, 22), (199, 103), (286, 239)]",KPE (TPE)
1001,"[(318, 202), (314, 202), (251, 201), (132, 1), (232, 2), (316, 54)]",ECP (CHANGI)
1001,"[(318, 62), (315, 60), (281, 40), (247, 23), (304, 6), (316, 19)]",ECP (CITY)
1002,"[(34, 237), (34, 201), (35, 155), (35, 117), (38, 72), (86, 77), (124, 130), (154, 176), (207, 239)]",KPE (ECP)
1002,"[(205, 236), (170, 197), (139, 163), (107, 120), (87, 83), (87, 74), (135, 67), (173, 88), (223, 112), (272, 139), (318, 160), (313, 236)]",PIE (TUAS)
1002,"[(318, 163), (316, 163), (289, 152), (254, 133), (221, 113), (199, 104), (177, 90), (159, 75), (156, 68), (167, 66), (194, 70), (217, 91), (253, 102), (297, 113), (319, 123), (316, 122)]",PIE (CHANGI)
1003,"[(8, 211), (31, 150), (49, 103), (58, 71), (20, 64), (7, 75), (0, 79), (0, 188)]",PIE (CHANGI)
1003,"[(10, 236), (21, 187), (30, 142), (43, 102), (48, 95), (54, 76), (81, 75), (97, 115), (124, 170), (171, 237)]",KPE (TPE)
1003,"[(172, 236), (146, 197), (122, 159), (107, 122), (94, 101), (84, 85), (82, 75), (107, 75), (139, 99), (188, 132), (229, 161), (278, 190), (317, 219), (316, 237)]",KPE (ECP)
1003,"[(318, 215), (315, 212), (253, 177), (214, 150), (163, 119), (134, 97), (118, 85), (103, 71), (99, 63), (132, 62), (167, 78), (219, 93), (269, 107), (317, 122)]",PIE (CHANGI)
1004,"[(91, 239), (122, 197), (136, 153), (131, 131), (121, 110), (114, 105), (95, 100), (81, 102), (66, 116), (52, 128), (40, 144), (29, 160), (14, 175), (2, 187), (5, 238)]",PIE (TUAS)
1004,"[(193, 237), (206, 207), (216, 177), (226, 151), (228, 141), (276, 144), (294, 169), (313, 201), (317, 235)]",KPE (ECP)
1005,"[(2, 185), (45, 159), (92, 132), (135, 107), (177, 80), (212, 64), (204, 51), (190, 48), (163, 53), (119, 66), (81, 77), (35, 89), (1, 100)]",KPE (ECP)
1005,"[(0, 185), (40, 163), (93, 129), (138, 102), (177, 81), (205, 62), (219, 55), (246, 58), (247, 93), (250, 149), (254, 204), (252, 237)]",KPE (TPE)
1006,"[(105, 238), (124, 187), (145, 129), (150, 95), (151, 74), (153, 51), (195, 50), (210, 68), (246, 88), (295, 115), (319, 125), (314, 234)]",KPE (ECP)
1006,"[(316, 126), (283, 106), (251, 92), (230, 81), (218, 72), (217, 53), (226, 48), (262, 48), (290, 46), (307, 46), (318, 48)]",KPE (TPE)
1501,"[(130, 238), (135, 195), (145, 136), (146, 83), (190, 78), (221, 130), (275, 192), (307, 237)]",MCE (ECP)
1502,"[(292, 235), (302, 5), (4, 3), (4, 235)]",MCE (AYE)
1503,"[(96, 238), (93, 192), (100, 143), (113, 100), (113, 93), (74, 89), (47, 96), (2, 102), (2, 232)]",MCE (AYE)
1503,"[(102, 238), (97, 204), (99, 147), (99, 111), (109, 91), (155, 88), (209, 94), (275, 98), (317, 105), (315, 237)]",MCE (ECP)
1504,"[(312, 234), (313, 3), (3, 3), (3, 234)]",MCE (AYE)
1505,"[(311, 235), (312, 7), (4, 3), (7, 234)]",MCE (ECP)
1701,"[(3, 717), (127, 649), (272, 567), (446, 476), (583, 405), (759, 319), (909, 245), (980, 218), (1033, 190), (1049, 153), (1027, 126), (965, 124), (868, 135), (799, 150), (682, 151), (614, 213), (463, 329), (225, 419), (70, 511), (6, 543)]",MOULMEIN
