Camera_Id,Direction,Vehicle_Count,Density,Average_Speed,Date,Time,Latitude,Longitude,Is_Weekday,Is_Peak,Incident,Jam
6705,JURONG,4,0.04,34.5,21/10/22,13:50:12,1.332124,103.81768,1,0,0,0
6705,CHANGI,9,0.09,34.5,21/10/22,13:50:12,1.332124,103.81768,1,0,0,1
1505,MCE (ECP),0,0,24.5,21/10/22,13:50:01,1.275297715,103.8663904,1,0,0,1
6713,JURONG,8,0.08,34.5,21/10/22,13:50:16,1.340298,103.945652,1,0,0,1
6713,CHANGI,0,0,34.5,21/10/22,13:50:16,1.340298,103.945652,1,0,0,0
2701,JOHOR,3,0.03,24.5,21/10/22,13:51:14,1.447023728,103.7716543,1,0,0,1
2701,WOODLANDS,1,0.01,24.5,21/10/22,13:51:14,1.447023728,103.7716543,1,0,0,1
1502,MCE (AYE),0,0,24.5,21/10/22,13:50:10,1.271350907,103.8618284,1,0,0,1
6704,JURONG,8,0.08,34.5,21/10/22,13:50:00,1.326574036,103.8268573,1,0,0,1
6704,CHANGI,14,0.14,34.5,21/10/22,13:50:00,1.326574036,103.8268573,1,0,0,1
9702,TPE,8,0.08,24.5,21/10/22,13:50:28,1.39474081,103.8179709,1,0,0,1
9702,BKE,4,0.04,24.5,21/10/22,13:50:28,1.39474081,103.8179709,1,0,0,1
1504,MCE (AYE),1,0.01,34.5,21/10/22,13:50:03,1.294098914,103.8760562,1,0,1,0
1707,JALAN BUKIT MERAH,3,0.03,34.5,21/10/22,13:51:05,1.280365843,103.8304511,1,0,0,0
1707,AYE,4,0.04,34.5,21/10/22,13:51:05,1.280365843,103.8304511,1,0,0,0
1707,SLE,0,0,34.5,21/10/22,13:51:05,1.280365843,103.8304511,1,0,0,0
6701,CHANGI,10,0.1,34.5,21/10/22,13:50:48,1.329334,103.858222,1,0,0,1
6701,JURONG,16,0.16,34.5,21/10/22,13:50:48,1.329334,103.858222,1,0,0,1
6701,TOA PAYOH,5,0.05,34.5,21/10/22,13:50:48,1.329334,103.858222,1,0,0,0
4708,CITY,12,0.12,14.5,21/10/22,13:51:15,1.29939,103.7799,1,0,0,1
6712,JURONG,1,0.01,64.5,21/10/22,13:50:00,1.332691,103.770278,1,0,0,0
6712,CHANGI,2,0.02,64.5,21/10/22,13:50:00,1.332691,103.770278,1,0,0,0
1503,MCE (AYE),0,0,34.5,21/10/22,13:50:06,1.270664087,103.8569779,1,0,0,0
1503,MCE (ECP),4,0.04,34.5,21/10/22,13:50:06,1.270664087,103.8569779,1,0,0,0
3705,XILIN AVE CHANGI COAST RD,0,0,34.5,21/10/22,13:51:34,1.32743,103.97383,1,0,0,0
3705,CITY,0,0,34.5,21/10/22,13:51:34,1.32743,103.97383,1,0,0,0
3705,AIRPORT,4,0.04,34.5,21/10/22,13:51:34,1.32743,103.97383,1,0,0,0
5794,JURONG,5,0.05,14.5,21/10/22,13:51:17,1.3309693,103.9168616,1,0,0,1
5794,CHANGI,1,0.01,14.5,21/10/22,13:51:17,1.3309693,103.9168616,1,0,0,1
2704,WOODLANDS,3,0.03,24.5,21/10/22,13:50:57,1.429588536,103.769311,1,0,0,1
9705,W'LANDS AVE 2,0,0,24.5,21/10/22,13:50:29,1.42627712,103.7871664,1,0,0,1
9705,BKE,9,0.09,24.5,21/10/22,13:50:29,1.42627712,103.7871664,1,0,0,1
9705,TPE,8,0.08,24.5,21/10/22,13:50:29,1.42627712,103.7871664,1,0,0,1
3798,CHANGI,5,0.05,64.5,21/10/22,13:50:52,1.29158484,103.8615987,1,0,1,0
3798,CITY,3,0.03,64.5,21/10/22,13:50:52,1.29158484,103.8615987,1,0,1,0
1709,CITY,15,0.15,44.5,21/10/22,13:51:08,1.313842317,103.845603,1,0,0,1
1709,SLE,11,0.11,44.5,21/10/22,13:51:08,1.313842317,103.845603,1,0,0,1
4710,JURONG,11,0.11,64.5,21/10/22,13:51:16,1.32153,103.75273,1,0,0,1
4710,CITY,3,0.03,64.5,21/10/22,13:51:16,1.32153,103.75273,1,0,0,0
4701,CITY,12,0.12,44.5,21/10/22,13:50:58,1.2871,103.79633,1,0,0,1
4701,JURONG,0,0,44.5,21/10/22,13:50:58,1.2871,103.79633,1,0,0,0
5795,CHANGI,9,0.09,14.5,21/10/22,13:51:49,1.326024822,103.905625,1,0,0,1
5795,JURONG,6,0.06,14.5,21/10/22,13:51:49,1.326024822,103.905625,1,0,0,1
4713,AYE,2,0.02,64.5,21/10/22,13:51:18,1.347645829,103.6366955,1,0,0,0
4713,JOHOR,3,0.03,64.5,21/10/22,13:51:18,1.347645829,103.6366955,1,0,0,0
1003,PIE (CHANGI),0,0,100,21/10/22,13:50:01,1.323957439,103.8728576,1,0,1,0
1003,KPE (TPE),0,0,100,21/10/22,13:50:01,1.323957439,103.8728576,1,0,1,0
1003,KPE (ECP),3,0.03,100,21/10/22,13:50:01,1.323957439,103.8728576,1,0,1,0
