Latitude,Longitude,Message,Type,Page
1.3117191426107464,103.87522193995012,(21/9)18:04 Heavy Traffic on KPE (towards TPE) between ECP Entrance and Nicoll Highway Entrance.,Heavy Traffic,1
1.3927074182968193,103.77404040490065,(21/9)17:59 Heavy Traffic on KJE (towards BKE) at BKE(Woodlands) Exit.,Heavy Traffic,1
1.3246303186674555,103.87195054907255,(21/9)17:50 Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and KPE Exit.,Heavy Traffic,1
1.3652954756718205,103.8598875553377,(21/9)17:26 Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 3 Exit.,Heavy Traffic,1
1.3657607735650137,103.89102592748777,(21/9)15:32 Accident on Upper Serangoon Road (towards Sengkang) after Hougang Avenue 2. Avoid right lane.,Accident,1
1.319287854654673,103.91350641004773,(21/9)11:37 Roadworks on Changi Road (toward City) after Frankel Avenue. Avoid right lane.,Roadwork,1
1.3117191426107464,103.87522193995012,(21/9)18:04 Heavy Traffic on KPE (towards TPE) between ECP Entrance and Nicoll Highway Entrance.,Heavy Traffic,2
1.3927074182968193,103.77404040490065,(21/9)17:59 Heavy Traffic on KJE (towards BKE) at BKE(Woodlands) Exit.,Heavy Traffic,2
1.3246303186674555,103.87195054907255,(21/9)17:50 Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and KPE Exit.,Heavy Traffic,2
1.3652954756718205,103.8598875553377,(21/9)17:26 Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 3 Exit.,Heavy Traffic,2
1.3657607735650137,103.89102592748777,(21/9)15:32 Accident on Upper Serangoon Road (towards Sengkang) after Hougang Avenue 2. Avoid right lane.,Accident,2
1.319287854654673,103.91350641004773,(21/9)11:37 Roadworks on Changi Road (toward City) after Frankel Avenue. Avoid right lane.,Roadwork,2
1.3117191426107464,103.87522193995012,(21/9)18:04 Heavy Traffic on KPE (towards TPE) between ECP Entrance and Nicoll Highway Entrance.,Heavy Traffic,3
1.3927074182968193,103.77404040490065,(21/9)17:59 Heavy Traffic on KJE (towards BKE) at BKE(Woodlands) Exit.,Heavy Traffic,3
1.3246303186674555,103.87195054907255,(21/9)17:50 Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and KPE Exit.,Heavy Traffic,3
1.3652954756718205,103.8598875553377,(21/9)17:26 Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 3 Exit.,Heavy Traffic,3
1.3657607735650137,103.89102592748777,(21/9)15:32 Accident on Upper Serangoon Road (towards Sengkang) after Hougang Avenue 2. Avoid right lane.,Accident,3
1.319287854654673,103.91350641004773,(21/9)11:37 Roadworks on Changi Road (toward City) after Frankel Avenue. Avoid right lane.,Roadwork,3
